Brand,Price,Horsepower,Fuel Efficiency
Brand A,71051,294,31.9
Brand C,48022,139,15.9
Brand C,89476,339,30.3
Brand E,98144,222,24.4
Brand Z,57238,117,21.3
Brand E,93290,136,35.0
Brand W,60377,200,14.7
Brand Z,39260,210,17.7
Brand Z,34022,313,25.3
Brand A,31662,203,22.5
Brand D,32407,356,12.1
Brand C,92237,224,28.0
Brand A,54785,140,23.5
Brand W,34963,290,11.8
Brand A,54414,213,10.2
Brand Z,87011,137,20.4
Brand A,46033,476,17.1
Brand A,76676,371,28.2
Brand E,40731,159,22.6
Brand Y,43186,291,30.7
Brand A,95882,253,11.5
Brand W,34332,292,31.3
Brand W,53068,378,13.7
Brand A,68892,349,24.7
Brand C,71916,431,12.9
Brand E,88439,435,20.7
Brand B,64747,447,11.3
Brand W,86496,367,19.1
Brand X,80716,349,13.6
Brand B,55385,340,33.3
Brand D,59933,499,32.9
Brand A,92412,275,25.5
Brand C,98367,461,16.5
Brand E,48129,130,29.4
Brand A,94547,183,24.2
Brand W,95301,132,18.9
Brand Y,30001,465,21.2
Brand D,36707,332,26.9
Brand D,33309,365,11.8
Brand Y,36337,359,29.4
Brand D,97053,304,21.0
Brand B,58528,234,10.0
Brand D,31838,431,26.1
Brand C,75088,381,18.3
Brand E,68508,231,28.1
Brand D,57521,259,30.1
Brand X,90593,474,34.1
Brand W,65049,189,27.6
Brand B,44761,452,16.2
Brand E,94754,472,30.6
Brand X,41610,384,13.2
Brand B,96605,109,24.5
Brand C,92009,361,28.4
Brand A,49750,175,23.1
Brand A,75846,375,12.5
Brand D,78270,169,30.5
Brand Z,52276,396,19.6
Brand X,66744,224,12.3
Brand A,48512,163,19.5
Brand D,67754,244,20.1
Brand C,85226,452,11.3
Brand Y,44910,274,21.1
Brand E,91232,437,30.6
Brand A,34537,246,25.4
Brand A,31600,482,29.1
Brand Y,52864,102,21.4
Brand E,66118,340,27.9
Brand B,98850,406,15.8
Brand C,49858,102,25.4
Brand E,49241,218,20.2
Brand C,59276,342,17.7
Brand C,50206,294,16.5
Brand C,32898,258,22.9
Brand Y,85356,335,24.6
Brand X,64204,477,34.8
Brand Y,34756,157,30.2
Brand D,72671,169,26.5
Brand Z,46419,275,31.6
Brand X,78019,433,30.0
Brand W,42693,299,28.5
Brand W,65817,345,23.3
Brand Y,55438,120,33.2
Brand W,72982,406,27.5
Brand B,85253,332,24.4
Brand W,55823,174,18.3
Brand C,75343,361,34.5
Brand Z,99025,342,12.0
Brand A,83617,249,10.3
Brand W,70713,271,19.8
Brand Z,78792,301,17.7
Brand D,71902,453,24.5
Brand D,51423,100,10.2
Brand X,65501,269,25.0
Brand Z,94683,407,30.4
Brand B,56270,378,31.7
Brand B,83684,131,18.6
Brand C,38896,431,34.1
Brand Y,50761,184,16.8
Brand Y,33463,424,11.5
Brand W,88506,261,19.4
Brand A,44379,170,26.8
Brand A,86056,100,18.3
Brand B,31436,114,27.4
Brand D,62879,128,14.3
Brand E,44018,476,24.1
Brand C,49594,175,24.6
Brand Y,58403,198,26.3
Brand D,45321,436,19.5
Brand D,47666,270,20.7
Brand C,76017,132,22.9
Brand A,89863,340,29.7
Brand C,65121,400,29.1
Brand A,33376,472,11.2
Brand B,39241,346,10.8
Brand W,76602,180,29.0
Brand E,46762,131,33.4
Brand A,78386,408,29.0
Brand W,54810,210,20.0
Brand E,36639,115,18.8
Brand B,48905,484,20.7
Brand E,90904,497,16.1
Brand W,99480,381,16.4
Brand E,86931,226,17.3
Brand X,30973,329,33.9
Brand C,45142,234,10.7
Brand Z,47384,293,15.8
Brand Z,64485,378,25.5
Brand Z,97568,210,11.1
Brand C,66689,137,16.7
Brand Z,71316,293,31.3
Brand D,84341,152,16.0
Brand Y,64313,246,23.3
Brand Y,50237,470,11.6
Brand W,31847,167,11.7
Brand X,98447,430,30.0
Brand D,91221,374,18.2
Brand B,66445,143,17.8
Brand A,83235,321,14.7
Brand Y,65593,153,22.9
Brand Z,85764,195,25.3
Brand D,78500,285,28.9
Brand A,74535,223,15.3
Brand D,31302,324,22.0
Brand E,92519,452,10.2
Brand Y,72976,479,13.8
Brand Y,39822,396,19.7
Brand E,93107,386,27.4
Brand A,48612,206,17.0
Brand Y,88829,483,20.5
Brand X,39856,323,23.2
Brand W,78459,273,18.0
Brand E,55791,310,16.4
Brand C,75063,387,19.6
Brand A,56764,289,21.4
Brand E,44259,190,16.0
Brand D,37382,316,18.3
Brand X,87028,153,26.1
Brand D,30943,341,19.5
Brand Z,61144,121,21.0
Brand C,71918,337,27.0
Brand D,77096,277,18.8
Brand Y,49574,279,12.2
Brand B,39363,375,20.0
Brand B,34221,332,18.5
Brand E,88438,168,24.5
Brand A,50353,369,27.8
Brand E,63800,242,35.0
Brand B,90449,296,21.0
Brand B,60938,322,34.3
Brand D,33106,205,19.6
Brand Y,51122,481,13.7
Brand B,71185,307,21.6
Brand C,75183,101,17.3
Brand C,31727,211,13.9
Brand D,76106,220,17.6
Brand D,63561,294,31.1
Brand W,53323,172,16.9
Brand E,80449,108,27.1
Brand B,91533,292,34.4
Brand X,31005,280,29.9
Brand B,76365,250,23.7
Brand E,68841,373,19.5
Brand Z,72771,393,34.9
Brand W,87291,308,26.2
Brand X,83533,127,25.5
Brand C,56332,376,20.5
Brand E,76522,248,28.4
Brand B,38192,496,22.3
Brand C,69835,484,13.9
Brand A,70902,246,30.6
Brand C,64592,330,29.5
Brand W,75839,343,22.2
Brand B,32522,492,23.1
Brand Z,36535,433,18.1
Brand Y,88046,168,33.5
Brand A,59600,349,24.2
Brand X,35908,182,31.9
Brand W,72974,150,33.1
Brand W,53806,497,19.4
Brand E,54205,264,16.8
Brand E,55313,473,18.3
Brand B,71229,359,12.9
Brand W,66275,323,13.7
Brand X,84850,188,15.8
Brand E,61812,185,33.0
Brand Z,72235,253,14.3
Brand Y,58407,387,33.1
Brand D,80985,172,20.1
Brand A,40398,150,30.1
Brand C,55465,400,11.4
Brand Z,31743,186,31.5
Brand Y,77180,260,31.1
Brand E,81336,446,34.1
Brand D,42672,165,26.2
Brand D,44391,285,24.8
Brand W,76034,275,15.1
Brand A,96484,444,28.9
Brand B,38850,456,32.3
Brand X,86932,282,32.7
Brand C,35956,333,11.6
Brand W,86440,270,26.2
Brand W,75155,313,12.7
Brand E,82161,188,35.0
Brand A,38930,242,20.0
Brand D,69829,359,28.3
Brand X,45330,309,23.4
Brand Y,35114,318,33.7
Brand X,48390,252,25.7
Brand D,99608,346,12.1
Brand X,91753,337,13.3
Brand X,37796,388,10.4
Brand B,50165,366,23.7
Brand C,60479,432,24.8
Brand A,65286,201,15.9
Brand C,95003,378,21.8
Brand Y,64309,252,23.2
Brand B,71281,152,24.1
Brand C,92767,278,15.3
Brand E,81021,486,11.0
Brand Y,58605,146,15.1
Brand A,66807,379,25.4
Brand C,85904,372,11.8
Brand C,32628,416,33.3
Brand D,91079,372,17.3
Brand W,41076,470,24.8
Brand Z,60237,387,22.8
Brand X,92877,340,34.9
Brand D,76630,422,10.8
Brand Z,96625,413,12.2
Brand X,90523,361,10.5
Brand W,58818,484,17.2
Brand W,64867,299,13.3
Brand D,83017,291,32.8
Brand A,96630,244,13.6
Brand D,70614,207,33.7
Brand B,49723,295,12.6
Brand X,43467,110,35.0
Brand B,67384,201,12.8
Brand E,68669,202,28.3
Brand X,75586,238,26.3
Brand D,68136,172,30.2
Brand C,56032,329,13.8
Brand Y,97259,314,33.2
Brand C,97974,170,20.7
Brand E,80007,218,23.6
Brand Y,42677,153,12.7
Brand Z,63670,215,28.9
Brand Z,37521,197,23.4
Brand X,67829,443,28.1
Brand A,43999,481,12.3
Brand B,39646,452,16.0
Brand C,72030,305,10.5
Brand W,54784,294,14.7
Brand E,89287,392,14.3
Brand B,46593,270,32.5
Brand W,88187,436,28.0
Brand E,84484,315,23.2
Brand X,69389,372,28.4
Brand B,98972,251,16.7
Brand E,56475,191,21.4
Brand X,86108,369,15.1
Brand C,38746,406,16.9
Brand Y,80184,100,30.6
Brand E,77171,309,28.6
Brand D,88021,455,24.7
Brand Z,77372,190,31.2
Brand D,62175,393,23.5
Brand C,90777,365,27.8
Brand E,56164,239,25.8
Brand D,64275,270,19.0
Brand A,86236,414,33.6
Brand Z,44930,136,16.4
Brand X,95270,349,23.9
Brand A,89794,199,11.3
Brand D,97961,138,30.0
Brand Z,85449,356,13.0
Brand X,33159,473,25.3
Brand E,60429,411,18.3
Brand Y,41836,205,13.6
Brand B,77828,494,33.8
Brand Z,32643,458,28.8
Brand W,71043,170,31.2
Brand C,76510,378,26.4
Brand W,94025,172,19.6
Brand B,77633,363,28.1
Brand X,74483,167,18.5
Brand W,33916,154,28.1
Brand D,79732,231,18.1
Brand E,93297,215,23.0
Brand B,85486,222,19.2
Brand D,84866,348,16.4
Brand B,91604,148,30.2
Brand C,60099,443,27.8
Brand X,61679,207,28.8
Brand X,90424,353,22.0
Brand Z,70428,133,32.6
Brand X,46317,300,24.9
Brand A,63079,297,31.7
Brand D,31081,251,15.5
Brand Z,97062,255,18.4
Brand W,52316,414,10.8
Brand X,45251,115,12.0
Brand B,68405,110,12.1
Brand C,64068,251,28.1
Brand W,44218,397,21.5
Brand Y,75729,107,12.1
Brand D,93092,107,24.8
Brand B,85346,158,23.5
Brand Y,38410,331,29.8
Brand B,97751,390,18.3
Brand E,85010,388,14.3
Brand D,46301,294,32.8
Brand W,87460,344,19.0
Brand W,68975,400,13.0
Brand D,75006,414,14.7
Brand B,41238,216,32.0
Brand W,47467,473,23.5
Brand Y,44422,381,31.5
Brand Z,42930,279,11.8
Brand D,60122,460,21.0
Brand B,66154,406,29.9
Brand W,96043,478,24.9
Brand D,91652,162,22.0
Brand Y,56848,114,30.5
Brand D,50394,173,13.0
Brand C,74128,254,29.4
Brand C,73289,419,27.3
Brand D,89075,237,17.7
Brand Z,68237,222,21.8
Brand Z,58322,152,10.6
Brand Z,72416,246,25.1
Brand B,77161,376,16.0
Brand Z,30588,287,28.4
Brand Y,53590,118,26.6
Brand W,79720,131,21.6
Brand Y,55840,489,28.3
Brand A,41824,346,33.8
Brand C,86170,151,27.9
Brand C,30947,255,34.9
Brand C,82804,306,20.7
Brand C,95145,228,18.9
Brand Z,65892,443,11.5
Brand Z,97905,369,17.1
Brand B,42487,473,22.4
Brand B,34604,104,32.9
Brand B,77429,448,28.2
Brand C,80662,344,23.6
Brand E,30095,443,24.2
Brand Z,66724,289,11.8
Brand E,80558,404,11.5
Brand W,93145,312,33.6
Brand W,45332,453,16.0
Brand C,83604,121,13.8
Brand E,65186,211,25.1
Brand Y,53694,459,27.8
Brand X,34062,372,27.4
Brand B,34924,460,18.6
Brand Y,39514,445,28.6
Brand Z,34110,461,20.0
Brand Z,71939,164,33.5
Brand A,40979,474,24.8
Brand Y,46958,396,15.9
Brand Z,90222,295,12.2
Brand E,60037,374,21.3
Brand W,40505,264,32.3
Brand C,99207,357,29.4
Brand D,88173,255,32.4
Brand A,99860,329,11.1
Brand X,51005,490,20.6
Brand C,34951,254,23.1
Brand B,47995,165,20.1
Brand E,96881,190,17.2
Brand D,66715,277,30.8
Brand C,92372,358,18.1
Brand B,82910,272,14.3
Brand A,68562,453,28.5
Brand A,75058,129,17.2
Brand Y,84394,366,21.9
Brand Y,78424,365,17.2
Brand B,40786,453,11.5
Brand Z,91153,450,16.1
Brand E,65393,461,20.5
Brand B,96597,169,13.7
Brand Z,64441,480,23.0
Brand E,32497,389,15.2
Brand Z,32890,118,10.6
Brand E,73428,357,32.3
Brand A,77592,476,19.2
Brand D,45956,249,12.8
Brand Z,85745,264,28.4
Brand W,65684,349,31.4
Brand Y,67921,180,11.7
Brand D,56212,392,33.2
Brand Z,94740,313,32.9
Brand C,41184,477,26.4
Brand D,84565,204,21.5
Brand Z,51147,232,27.4
Brand A,60738,373,21.0
Brand E,36517,281,30.3
Brand A,83928,264,21.6
Brand X,40091,489,14.6
Brand Z,36478,205,12.7
Brand A,34137,183,25.6
Brand X,52831,188,13.0
Brand W,44434,143,14.9
Brand A,69895,451,23.7
Brand Z,32429,439,22.1
Brand D,92467,288,11.8
Brand X,48089,141,19.3
Brand B,75505,198,18.2
Brand C,67980,168,19.1
Brand W,83066,371,12.8
Brand W,66320,277,25.5
Brand A,80998,123,22.1
Brand Y,90173,459,14.1
Brand A,58300,266,34.5
Brand Y,93846,487,31.8
Brand D,94707,459,24.0
Brand A,59802,381,27.5
Brand W,38355,434,20.9
Brand A,62010,389,31.4
Brand W,94323,393,16.9
Brand A,85433,362,14.7
Brand W,59917,317,30.1
Brand W,44468,450,29.4
Brand B,79601,311,13.6
Brand E,66341,481,31.5
Brand Y,38565,273,31.4
Brand B,72454,235,30.7
Brand E,58386,436,33.9
Brand X,70842,360,30.2
Brand A,54823,219,23.2
Brand C,36700,124,22.2
Brand Z,65160,231,31.8
Brand Z,85741,262,17.6
Brand Z,59956,108,27.7
Brand Z,52695,402,25.7
Brand Y,59104,182,13.5
Brand C,58018,275,33.8
Brand Y,83105,213,20.6
Brand W,57816,357,23.2
Brand A,61036,140,24.2
Brand C,81433,182,23.7
Brand Z,42021,297,32.1
Brand X,82015,384,28.9
Brand E,92423,398,18.9
Brand E,44282,496,12.5
Brand B,59084,392,33.7
Brand C,53285,498,19.8
Brand C,32263,311,13.5
Brand X,54647,268,22.6
Brand Z,83292,400,14.7
Brand C,53035,332,20.1
Brand A,31857,440,20.6
Brand Y,44968,260,13.9
Brand D,52948,480,31.8
Brand Z,40223,336,33.9
Brand D,86558,239,12.7
Brand W,98158,385,11.3
Brand X,76603,464,33.4
Brand E,43802,253,12.0
Brand D,97978,345,13.3
Brand W,85551,469,15.2
Brand Z,30660,165,33.3
Brand W,36129,112,25.6
Brand D,83483,259,32.3
Brand D,60197,273,32.9
Brand Y,54940,369,24.3
Brand B,43593,155,21.3
Brand A,42924,351,19.6
Brand D,94263,155,13.6
Brand E,55052,302,26.5
Brand C,81771,259,25.6
Brand C,87282,279,18.1
Brand Z,75810,318,21.9
Brand Y,55549,301,28.1
Brand Z,89167,401,22.2
Brand B,35427,458,10.9
Brand B,43226,331,30.3
Brand C,87089,244,17.6
Brand B,76666,206,34.2
Brand W,43873,101,16.3
Brand Y,40489,362,12.7
Brand W,33376,399,19.6
Brand A,47583,117,19.9
Brand W,37124,233,32.3
Brand Z,79096,435,11.0
Brand W,90471,230,28.1
Brand C,33751,204,14.1
Brand W,36621,200,14.2
Brand E,60993,182,29.5
Brand D,31850,228,15.6
Brand Y,43658,105,25.1
Brand E,64735,497,29.8
Brand B,94842,458,18.6
Brand X,42909,431,15.2
Brand B,61557,427,22.7
Brand A,90233,416,19.7
Brand D,32535,311,28.1
Brand W,30554,140,29.7
Brand Z,89387,305,34.4
Brand E,69573,163,26.9
Brand Z,89570,328,21.2
Brand B,43003,428,27.5
Brand A,30690,368,29.4
Brand C,42398,389,13.9
Brand A,94948,331,17.1
Brand Z,40921,326,15.4
Brand Z,95156,320,23.8
Brand Z,43136,240,16.3
Brand X,60960,196,19.7
Brand Z,94125,182,20.5
Brand X,95901,225,28.9
Brand Y,32801,366,13.9
Brand W,36445,332,20.1
Brand C,32929,101,11.8
Brand X,65531,470,23.6
Brand C,68116,148,27.9
Brand Y,69421,108,21.8
Brand E,56169,412,26.1
Brand C,75646,128,27.2
Brand Y,35355,363,11.7
Brand Z,81405,463,10.6
Brand Y,50812,211,22.2
Brand B,53564,371,25.3
Brand Z,89107,310,10.7
Brand W,74280,403,10.5
Brand A,94593,470,22.4
Brand D,52875,383,31.2
Brand D,95508,158,34.3
Brand C,47880,439,22.1
Brand C,72948,476,24.2
Brand Y,46502,178,26.1
Brand X,91149,293,23.1
Brand A,30395,179,16.0
Brand D,78703,253,17.6
Brand W,39284,357,33.5
Brand D,89694,325,22.9
Brand W,95159,440,19.5
Brand A,35612,119,22.8
Brand Y,85586,341,19.8
Brand C,33808,347,10.3
Brand C,42724,153,23.2
Brand E,88028,414,33.2
Brand W,81010,462,27.5
Brand E,45484,443,26.8
Brand B,53221,148,30.4
Brand W,98812,130,17.9
Brand Z,33076,369,30.9
Brand X,41069,278,20.8
Brand C,75601,175,23.5
Brand D,87429,268,30.8
Brand Z,70153,437,32.5
Brand Y,30317,173,14.7
Brand W,70037,488,12.0
Brand E,86836,325,30.5
Brand A,40156,367,20.0
Brand A,38247,339,29.7
Brand Z,30577,119,31.3
Brand D,46022,337,30.0
Brand Z,83741,396,33.7
Brand D,95303,163,13.0
Brand W,49245,375,28.9
Brand Y,80830,456,22.5
Brand Z,31644,231,14.8
Brand X,80945,205,31.8
Brand X,32776,474,21.9
Brand C,52820,245,11.1
Brand W,42066,141,28.9
Brand Z,37993,256,21.1
Brand C,77087,193,14.1
Brand D,98445,299,22.8
Brand E,62535,348,17.2
Brand W,48330,238,18.5
Brand Z,51536,346,13.1
Brand X,80748,117,12.0
Brand E,83003,132,25.0
Brand A,63152,264,33.9
Brand A,92534,489,20.8
Brand Z,48485,300,23.7
Brand B,51695,473,23.5
Brand D,94262,276,15.6
Brand W,54302,310,14.7
Brand W,33541,464,26.0
Brand B,76370,321,22.3
Brand A,62377,201,13.5
Brand E,32154,226,16.0
Brand D,99375,409,33.1
Brand E,60987,353,19.7
Brand D,38923,186,15.8
Brand W,57825,367,10.8
Brand B,57595,258,13.6
Brand B,88810,227,17.9
Brand D,30077,466,32.2
Brand A,39055,221,23.4
Brand Y,43856,328,19.0
Brand B,70557,265,32.6
Brand D,50882,451,13.2
Brand W,77166,212,12.0
Brand B,58697,204,22.0
Brand A,59736,152,20.3
Brand X,61560,123,20.8
Brand Z,60347,149,24.7
Brand C,92963,209,32.7
Brand X,30241,313,21.2
Brand X,78932,210,20.0
Brand C,51628,365,20.4
Brand D,58097,254,14.8
Brand C,51137,440,15.4
Brand C,70182,443,29.6
Brand D,96922,218,22.0
Brand X,89813,416,11.7
Brand X,34748,258,29.4
Brand X,66956,367,18.7
Brand A,90023,113,30.7
Brand W,34783,381,33.9
Brand A,37044,193,22.5
Brand X,82837,323,34.2
Brand C,86844,215,19.5
Brand X,57635,443,31.2
Brand W,53840,266,12.2
Brand Y,74574,281,23.0
Brand E,65792,458,12.2
Brand C,60113,187,30.3
Brand B,68853,283,10.2
Brand B,65397,156,11.3
Brand B,80912,292,16.6
Brand Y,34349,174,30.4
Brand A,88255,327,26.3
Brand D,88467,484,29.1
Brand W,51826,272,20.5
Brand E,68039,403,10.2
Brand X,92850,160,27.8
Brand Z,33157,497,12.9
Brand Y,30015,454,11.4
Brand W,64585,425,12.4
Brand E,44803,279,11.5
Brand Y,75020,272,17.1
Brand W,40694,109,29.7
Brand B,88455,138,25.7
Brand C,51575,203,33.2
Brand Y,60904,299,22.3
Brand A,99201,336,12.0
Brand Z,70636,327,21.4
Brand Z,51770,428,28.4
Brand Y,73219,282,21.0
Brand X,45476,275,28.9
Brand Y,67784,452,16.2
Brand Z,61701,373,11.2
Brand E,40682,218,16.6
Brand W,50728,276,22.1
Brand E,56839,452,25.7
Brand D,40933,406,21.2
Brand W,95399,405,23.1
Brand X,92477,112,17.7
Brand D,68464,359,27.3
Brand Y,72270,220,12.1
Brand Y,37572,389,33.3
Brand D,38307,277,16.3
Brand A,86697,152,18.1
Brand B,82695,186,28.2
Brand D,44691,135,30.4
Brand B,49065,479,18.9
Brand E,61524,367,23.2
Brand B,74927,447,18.9
Brand E,48120,318,34.2
Brand Y,51796,278,26.5
Brand W,78504,338,15.8
Brand Z,90434,173,29.0
Brand D,61833,172,16.5
Brand C,96726,428,22.2
Brand B,44983,291,21.3
Brand X,78877,456,30.7
Brand Y,36861,159,10.4
Brand D,36986,103,19.0
Brand D,93982,289,28.9
Brand E,61230,445,26.7
Brand D,71454,332,23.8
Brand C,45576,340,33.7
Brand A,88467,164,10.9
Brand B,64003,107,16.3
Brand A,93621,206,11.3
Brand Z,88606,257,14.3
Brand D,64231,242,29.6
Brand X,83957,223,34.0
Brand D,33612,423,22.5
Brand E,54927,429,24.0
Brand C,66397,406,28.6
Brand W,75506,136,10.8
Brand W,88751,277,12.8
Brand B,87767,223,33.0
Brand Y,59588,455,28.8
Brand D,52079,328,25.8
Brand W,53675,190,13.2
Brand A,83519,258,12.2
Brand C,92287,498,18.1
Brand A,62867,481,19.8
Brand W,65478,379,17.8
Brand X,95611,391,28.7
Brand E,63602,397,23.8
Brand E,82529,354,25.3
Brand D,37682,318,17.1
Brand Z,53418,463,15.7
Brand E,47927,177,26.8
Brand E,84376,276,19.5
Brand X,33492,255,17.1
Brand A,83794,461,16.4
Brand B,99691,303,10.4
Brand B,64198,483,18.7
Brand B,66190,349,31.1
Brand Y,89715,218,19.9
Brand D,66847,421,23.1
Brand B,97763,344,26.8
